Title,URL  (nintendo.com or nintendo.co.uk),asset_flip,framerate
ace invaders,https://www.nintendo.com/games/detail/ace-invaders-switch/,x,
ace strike,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Ace-Strike-1932720.html,x,
america wild hunting,https://www.nintendo.com/games/detail/america-wild-hunting-switch/,x,
among pipes,https://www.nintendo.com/games/detail/among-pipes-switch/,x,
animal pals bubble pop,https://www.nintendo.com/games/detail/animal-pals-bubble-pop-switch/,x,
arcanoid breakout,https://www.nintendo.com/games/detail/arcanoid-breakout-switch/,x,
archery blast,https://www.nintendo.com/games/detail/archery-blast-switch/,x,
archery blast,https://www.nintendo.com/games/detail/archery-blast-switch/,x,
ball frenzy,https://nintendo.com/games/detail/pinball-frenzy-switch/,x,
ball physics draw puzzles,https://www.nintendo.com/games/detail/ball-physics-draw-puzzles-switch/,x,
basketball pinball,https://www.nintendo.com/games/detail/basketball-pinball-switch/,x,
beat them all,https://www.nintendo.com/games/detail/beat-them-all-switch/,x,
block puzzle,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Block-Puzzle-2030941.html#Overview,x,
blocky puzzle,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Blocky-Puzzle-1988408.html#Overview,x,
blow up monsters,https://www.nintendo.com/games/detail/blow-up-monsters-switch/,x,
bocce,https://www.nintendo.com/games/detail/bocce-switch/,x,
bounce mania,https://www.nintendo.com/games/detail/bounce-mania-switch/,x,
bounce mania,https://www.nintendo.com/games/detail/bounce-mania-switch/,x,
bring honey home,https://www.nintendo.com/games/detail/bring-honey-home-switch/,x,
bubble bubble ocean,https://www.nintendo.com/games/detail/bubble-bubble-ocean-switch/,x,
bubble bubble ocean,https://www.nintendo.com/games/detail/bubble-bubble-ocean-switch/,x,
bullet trail,https://www.nintendo.com/games/detail/bullet-trail-switch/,x,
burger master,https://www.nintendo.com/games/detail/burger-master-switch/,x,
caesar empire war,https://www.nintendo.com/games/detail/caesar-empire-war-switch/,x,
caesar empire war,https://www.nintendo.com/games/detail/caesar-empire-war-switch/,x,
candy match kiddies,https://www.nintendo.com/games/detail/candy-match-kiddies-switch/,x,
candy match kiddies,https://www.nintendo.com/games/detail/candy-match-kiddies-switch/,x,
cannon army,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/CANNON-ARMY-1984094.html#Overview,x,
castle heroes,https://www.nintendo.com/games/detail/castle-heroes-switch/,x,
checkers master,https://www.nintendo.com/games/detail/checkers-master-switch/,x,
checkers master,https://www.nintendo.com/games/detail/checkers-master-switch/,x,
chef word ardee,https://www.nintendo.com/store/products/chef-word-ardee-switch/,x,
classic checkers,https://www.nintendo.com/games/detail/classic-checkers-switch/,x,
classic pool,https://www.nintendo.com/games/detail/classic-pool-switch/,x,
clay skeet shooting,https://www.nintendo.com/games/detail/clay-skeet-shooting-switch/,x,
